"Group"	"Date"	"ET"	"Station"	"SP"	"Sex"	"Age"	"Weight"
"84"	"7_14m69"	"7_14"	69	"H20"	"PL"	"M"	"SA"	14
"85"	"7_14m71"	"7_14"	71	"D20"	"PL"	"F"	"J"	12
"86"	"7_14m74"	"7_14"	74	"N17"	"PMG"	"F"	"J"	7
"87"	"7_14m77"	"7_14"	77	"F17"	"PMG"	"M"	"J"	9.5
"88"	"7_14m79"	"7_14"	79	"J20"	"PMG"	"F"	"J"	9
"89"	"7_14m80"	"7_14"	80	"N1"	"PL"	"M"	"J"	13
"90"	"7_2m21"	"7_2"	21	"B8"	"PMG"	"F"	"A"	19
"91"	"7_2m25"	"7_2"	25	"P17"	"PMG"	"F"	"A"	16
"92"	"7_2m27"	"7_2"	27	"P11"	"PL"	"M"	"SA"	15
"93"	"7_2m38"	"7_2"	38	"AA20"	"PMG"	"F"	"A"	17
"94"	"7_2m46"	"7_2"	46	"P2"	"PMG"	"F"	"SA"	15
"95"	"7_2m51"	"7_2"	51	"B18"	"PMG"	"F"	"J"	12
"96"	"7_2m52"	"7_2"	52	"L16"	"PMG"	"M"	"A"	18
"97"	"7_2m53"	"7_2"	53	"J17"	"PL"	"M"	"SA"	17
"98"	"7_2m54"	"7_2"	54	"H4"	"PL"	"F"	"J"	9
"99"	"7_2m55"	"7_2"	55	"P13"	"PL"	"F"	"J"	10
"100"	"7_2m56"	"7_2"	56	"N4"	"PL"	"M"	"A"	16
"101"	"7_2m57"	"7_2"	57	"N20"	"PL"	"F"	"J"	12
"102"	"7_3m2"	"7_3"	2	"A3"	"PL"	"M"	"A"	19
"103"	"7_3m20"	"7_3"	20	"M17"	"PL"	"M"	"A"	17
"104"	"7_3m34"	"7_3"	34	"P6"	"PMG"	"M"	"SA"	15
"105"	"7_3m37"	"7_3"	37	"CC6"	"PL"	"F"	"SA"	13
"106"	"7_3m38"	"7_3"	38	"CC3"	"PMG"	"F"	"SA"	17
"107"	"7_3m43"	"7_3"	43	"CC13"	"PMG"	"F"	"SA"	16
"108"	"7_3m44"	"7_3"	44	"N16"	"PL"	"M"	"SA"	16
"109"	"7_3m51"	"7_3"	51	"B18"	"PMG"	"F"	"J"	11
"110"	"7_3m57"	"7_3"	57	"L19"	"PL"	"F"	"J"	13
"111"	"7_3m60"	"7_3"	60	"P11"	"PL"	"M"	"J"	9
